Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-08-01 0:00:00,patung piala dunia ,,wa,705000,1200000
2023-08-01 0:00:00,burung elang 25x25,INV20230801/MPL/3378371447,tokped,250000,
2023-08-04 0:00:00,garuda wisnu 30 cm,INV/20230804/MPL3383716245,tokped,900000,
2023-08-05 0:00:00,patung budha 40 cm,,wa,1350000,2300000
2023-08-08 0:00:00,ganesha 33x22 cm,INV/20230808/MPL/3390640895,tokped,700000,
2023-08-17 0:00:00,ukiran bunga motif 1 40 cm,INV/20230817/MPL/3406909680,tokped,180000,
2023-08-24 0:00:00,sign toilet 3 pcs,,wa,155000,270000
2023-08-26 0:00:00,ganesh 40x25,2995777710,etsy,3500000,
2023-08-28 0:00:00,Pandil gajah 80x200 ,,wa,19400000,10000000
2023-08-29 0:00:00,pandil 50x30 subali sugriwa,2999308386,etsy,3050000,
2023-08-29 0:00:00,patung nelayan 30 cm,INV/20230829/MPL/3427745009,tokped,200000,
2023-08-30 0:00:00,patung hanuman kulit kayu 27 cm,INV/20230830/MPL/3430135652,tokped,350000,
2023-08-31 0:00:00,2 lembar pintu ukir,,wa,350000,
2023-08-31 0:00:00,ongkos packing bapane 9 pcs,,,45000,
2023-07-07 0:00:00,gajah mada,230707CKRUN7D6,shopee,500000,
