Date,Sumber,ID,Nilai,Keterangan
2023-04-04 0:00:00,etsy,2845478547,2137200,Payment for Order #2845478547
2023-04-04 0:00:00,etsy,2845478547,-328,VAT: auto-renew sold  auto-renew sold : 1304275242
2023-04-04 0:00:00,etsy,2845478547,-2983,Listing fee ($0.20 USD) Listing #1304275242
2023-04-04 0:00:00,etsy,2845478547,-5639,VAT: shipping_transaction
2023-04-04 0:00:00,etsy,2845478547,-9642,VAT: transaction transaction: 3501755468
2023-04-04 0:00:00,etsy,2845478547,-11349,VAT: Processing Fee Order #2845478547
2023-04-04 0:00:00,etsy,2845478547,-51266,Transaction fee: Shipping Order #2845478547
2023-04-04 0:00:00,etsy,2845478547,-87653,Transaction fee: Balinese Handmade Wooden Janger Statue 2... Order #2845478547
2023-04-04 0:00:00,etsy,2845478547,-103174,Processing fee Order #2845478547
2023-04-09 0:00:00,etsy,2850875795,3283350,Payment for Order #2850875795
2023-04-09 0:00:00,etsy,2850875795,-329,VAT: auto-renew sold  auto-renew sold : 1295702475
2023-04-09 0:00:00,etsy,2850875795,-2987,Listing fee ($0.20 USD) Listing #1295702475
2023-04-09 0:00:00,etsy,2850875795,-7143,VAT: shipping_transaction
2023-04-09 0:00:00,etsy,2850875795,-15004,VAT: transaction transaction: 3508844814
2023-04-09 0:00:00,etsy,2850875795,-17023,VAT: Processing Fee Order #2850875795
2023-04-09 0:00:00,etsy,2850875795,-64935,Transaction fee: Shipping Order #2850875795
2023-04-09 0:00:00,etsy,2850875795,-136403,Transaction fee: Balinese Arowana Fish Wooden Sculpture S... Order #2850875795
2023-04-09 0:00:00,etsy,2850875795,-154751,Processing fee Order #2850875795
2023-04-09 0:00:00,etsy,2850875795,-185850,Sales tax paid by buyer Order #2850875795
2023-04-12 15:34:49,tokped,INV/20230323/MPL/3127565795,600000,Transaksi Penjualan Berhasil - INV/20230323/MPL/3127565795
2023-04-12 15:34:49,tokped,INV/20230323/MPL/3127565795,-27000,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230323/MPL/3127565795
2023-04-13 0:00:00,etsy,2854546207,4396375,Payment for Order #2854546207
2023-04-13 0:00:00,etsy,2854546207,-324,VAT: auto-renew sold  auto-renew sold : 1281701176
2023-04-13 0:00:00,etsy,2854546207,-2944,Listing fee ($0.20 USD) Listing #1281701176
2023-04-13 0:00:00,etsy,2854546207,-9029,VAT: shipping_transaction
2023-04-13 0:00:00,etsy,2854546207,-22405,VAT: transaction transaction: 3516624969
2023-04-13 0:00:00,etsy,2854546207,-22532,VAT: Processing Fee Order #2854546207
2023-04-13 0:00:00,etsy,2854546207,-82082,Transaction fee: Shipping Order #2854546207
2023-04-13 0:00:00,etsy,2854546207,-203682,Transaction fee: Balinese Handmade Wooden Elephant Carvin... Order #2854546207
2023-04-13 0:00:00,etsy,2854546207,-204837,Processing fee Order #2854546207
2023-04-13 16:56:07,tokped,INV/20230331/MPL/3145866578,550000,Transaksi Penjualan Berhasil - INV/20230331/MPL/3145866578
2023-04-13 16:56:07,tokped,INV/20230331/MPL/3145866578,-24750,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230331/MPL/3145866578
2023-04-13 17:06:51,tokped,INV/20230405/MPL/3156184262,340000,Transaksi Penjualan Berhasil - INV/20230405/MPL/3156184262
2023-04-13 17:06:51,tokped,INV/20230405/MPL/3156184262,-15300,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230405/MPL/3156184262
2023-04-14 8:09:21,tokped,,-300000,Penggunaan Saldo Tokopedia untuk pembelian dari Tokopedia Ads. [ID Transaksi: 3821499787]
2023-04-16 0:00:00,etsy,,-325,VAT: auto-renew expired auto-renew expired: 1281675828
2023-04-16 0:00:00,etsy,,-2956,Listing fee ($0.20 USD) Listing #1281675828
2023-04-18 18:22:03,tokped,INV/20230413/MPL/3176481370,1300000,Transaksi Penjualan Berhasil - INV/20230413/MPL/3176481370
2023-04-18 18:22:03,tokped,INV/20230413/MPL/3176481370,-58500,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230413/MPL/3176481370
2023-04-19 14:14:14,tokped,,8400,Cashback atas pengiriman cashless J&T  Mar 2023 | Total Ongkos Kirim Rp 42000
2023-04-19 17:19:10,tokped,INV/20230323/MPL/3127679827,430000,Transaksi Penjualan Berhasil - INV/20230323/MPL/3127679827
2023-04-19 17:19:10,tokped,INV/20230323/MPL/3127679827,-19350,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230323/MPL/3127679827
2023-04-19 19:48:28,tokped,,16326,Cashback atas pengiriman cashless JNE Cashless YES Mar 2023 | Total Ongkos Kirim Rp 561000
2023-04-20 16:35:29,tokped,,3480,Cashback atas pengiriman cashless JNE Cashless REG Mar 2023 | Total Ongkos Kirim Rp 116000
2023-04-22 2:34:03,tokped,INV/20230410/MPL/3167525637,680000,Transaksi Penjualan Berhasil - INV/20230410/MPL/3167525637
2023-04-22 2:34:03,tokped,INV/20230410/MPL/3167525637,-30600,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230410/MPL/3167525637
2023-04-23 0:00:00,etsy,2868574974,2297930,Payment for Order #2868574974
2023-04-23 0:00:00,etsy,2868574974,-329,VAT: auto-renew sold  auto-renew sold : 1304259282
2023-04-23 0:00:00,etsy,2868574974,-2987,Listing fee ($0.20 USD) Listing #1304259282
2023-04-23 0:00:00,etsy,2868574974,-5718,VAT: shipping_transaction
2023-04-23 0:00:00,etsy,2868574974,-8569,VAT: transaction transaction: 3526889982
2023-04-23 0:00:00,etsy,2868574974,-12145,VAT: Processing Fee Order #2868574974
2023-04-23 0:00:00,etsy,2868574974,-51981,Transaction fee: Shipping Order #2868574974
2023-04-23 0:00:00,etsy,2868574974,-77903,Transaction fee: Balinese Wooden Whale Sculpture Size 30 ... Order #2868574974
2023-04-23 0:00:00,etsy,2868574974,-110407,Processing fee Order #2868574974
2023-04-23 0:00:00,etsy,2868574974,-299730,Sales tax paid by buyer Order #2868574974
2023-04-27 13:58:19,tokped,INV/20230323/MPL/3127436890,10000000,Transaksi Penjualan Berhasil - INV/20230323/MPL/3127436890
2023-04-27 13:58:19,tokped,INV/20230323/MPL/3127436890,-450000,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230323/MPL/3127436890
2023-04-28 16:17:08,tokped,,-300000,Penggunaan Saldo Tokopedia untuk pembelian dari Tokopedia Ads. [ID Transaksi: 3849420212]
