Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2024-04-06 0:00:00,Pandil Calonarang ,3258339665,etsy,3250000,
2024-04-09 0:00:00,Hanoman  kulit 27 cm ,INV/20240409/MPL/3847554730,tokped,350000,
2024-04-10 0:00:00,hiasan dinding 30 cm,3262355983,etsy,160000,
2024-04-17 0:00:00,pandil gajah 50 cm,INV/20240417/MPL/3857465664,tokped,950000,
2024-04-17 0:00:00,4x hiasan dinding bunga 3 40 cm ( ganesha),INV/20240417/MPL/3857232737,tokped,540000,
2024-04-20 0:00:00,Pandil pemandangan 50 cm,INV/20240420/MPL/3862873247,tokped,950000,
2024-04-20 0:00:00,pandil keluarga bali 50 cm,INV/20240420/MPL/3862875682,tokped,950000,
2024-04-24 0:00:00,buddha ketawa 50 cm,INV/20240424/MPL/3869910100,tokped,390000,
2024-04-25 0:00:00,hiasan dinding bunga 3 40 cm,INV/20240425/MPL/3871755323,tokped,180000,
2024-04-26 0:00:00,Rama sita tapel 37 cm,3282717080,etsy,1000000,
2024-04-26 0:00:00,hiasan dinding 30 cm,3283110900,etsy,160000,
2024-03-09 0:00:00,Rak besi tempat stok barang,,,2800000,
2024-02-26 0:00:00,hiasan dinding 60 cm,240226JWKPSVCH,shopee,400000,
