Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-12-01 0:00:00,Jam dinding ukiran bali,,novica,500000,650000
2023-12-06 0:00:00,patung Hanuman yoga ,INV/20231206/MPL/3606408433,tokped,700000,
2023-12-09 0:00:00,pandil rama sita 40x20 cm 3 pcs,,wa,1410000,2400000
2023-12-14 0:00:00,Hiasan dinding omkara 40 cm,INV/20231214/MPL/3624196632,tokped,180000,
2023-12-20 0:00:00,pembelian karton 50 pcs,,,465000,
2023-12-21 0:00:00,Patung janger ,INV/20231221/MPL/3637707904,tokped,300000,
2023-12-21 0:00:00,Pandil Ganesha 50x30 cm,INV/20231221/MPL/3636906980,tokped,850000,
2023-12-22 0:00:00,hiasan dinding 40 cm,INV/20231222/MPL/3639103319,tokped,180000,
2023-12-22 0:00:00,"6 items ( 2 Hiasan dinding motif bunga 30 cm, burung hantu, pelikan, narasinga, hiasan dinding motif bunga 40 cm ",3157969058,etsy,3420000,
2023-12-23 0:00:00,Patung ganesha 30 cm,INV/20231223/MPL/3641024369,tokped,750000,
2023-12-29 0:00:00,"custom 4 kg level 3, pekong 50 cm panjang",INV/20231229/MPL/3651373960,tokped,530000,
2023-12-29 0:00:00,Liverpool 30 cm,INV/20231229/MPL/3651510120,tokped,250000,
2023-12-31 0:00:00,ongkos packing bapane,,,50000,
