Date,Keterangan,Sumber,Pengeluaran,,Pemasukan,ID,Link,Margin,Total Pengeluaran,Total Pemasukan,Potensi Pemasukan
2022-12-20 11:00:07,Ongkos ersa bulan november- 7 jam kerja (jyo),,105000,,,,,,15230000,"955,000.00","8,195,649,486.00"
2022-12-20 11:00:07,paus 30 cm ,tokped,70000,,,INV/20221206/MPL/2876297513,"95,000.00",0.2631578947,,,
2022-12-20 11:00:07,man city 30 cm,tokped,220000,,,INV/20221209/MPL/2885618836,"330,000.00",0.3333333333,,,
2022-12-20 11:00:07,custom 2 pcs hiasan dinding 30 cm,tokped,250000,,,INV/20221205/MPL/2873730985,"380,000.00",0.3421052632,,,
2022-12-20 11:00:07,jam kalarau,tokped,450000,,,INV/20221212/MPL/2895245665,"699,000.00",0.356223176,,,
2022-12-20 11:00:07,hiasan dinding 30 cm,tokped,120000,,,INV/20221212/MPL/2895292949,"180,000.00",0.3333333333,,,
2022-12-20 11:00:07,jam ukiran bali,tokped,383000,,,INV/20221214/MPL/2900346146,"575,000.00",0.3339130435,,,
2022-12-20 11:00:07,custom pandil gajah 3 pcs,tokped,2050000,,,INV/20221215/MPL/2902901298,"2,700,000.00",0.2407407407,,,
2022-12-20 11:00:07,bayern munchen 30cm,wa,200000,,305000,,,0.3442622951,,,
2022-12-20 11:00:07,custom standing panel,shopee,220000,,,2212072V315FPY,"330,000.00",0.3333333333,,,
2022-12-20 11:00:07,pinguin ( jyo),shopee,45000,,,221203PDWFFWVA,"70,000.00",0.3571428571,,,
2022-12-20 11:00:07,naga botol + hiasan dinding 30 cm,shopee,270000,,,221224FUGQ1R6A,"405,000.00",0.3333333333,,,
2022-12-20 11:00:07,hiasan dinding 30 cm,shopee,120000,,,221215PXWQCJ63,"180,000.00",0.3333333333,,,
2022-12-20 11:00:07,pembelian plaster ,,340000,,,,,,,,
2022-12-20 11:00:07,pembelian bubble wrap,,135000,,,,,,,,
2022-12-20 11:00:07,jam ukiran bali,novica,450000,,650000,,,0.3076923077,,,
2022-12-20 11:00:07,tapel barong + pandil pemandangan,tokped,1250000,,,INV/20221204/MPL/2871515242,"1,875,000.00",0.3333333333,,,
2022-12-20 11:00:07,panel naga 25 cm,tokped,240000,,,INV/20221222/MPL/2919627418,"360,000.00",0.3333333333,,,
2022-12-20 11:00:07,pandil calonarang ,etsy,2600000,,,2731883162,"10,207,800.00",0.7452928153,,,
2022-12-20 11:00:07,ongkir wahana,,18000,,,2731883162,,,,,
2022-12-20 11:00:07,onkir kurasi (jyo),,609000,,,2731883162,,,,,
2022-12-20 11:00:07,custom 2 pcs 40 cm,tokped,1200000,,,INV/20221129/MPL/2857269950,"1,800,000.00",0.3333333333,,,
2022-12-20 11:00:07,jam ukir wel,tokped,300000,,,INV/20221115/MPL/2822491240,"450,000.00",0.3333333333,,,
2022-12-20 11:00:07,arsenal,shopee,210000,,,221123SMBB5PPC,"315,000.00",0.3333333333,,,
2022-12-20 11:00:07,paus 30 cm ,shopee,75000,,,221122QY45MXV0,"95,000.00",0.2105263158,,,
2022-12-20 11:00:07,gajah mada ,tokped,500000,,,INV/20221120/MPL/2833456365,"750,000.00",0.3333333333,,,
2022-12-20 11:00:07,custom narasimha,tokped,2800000,,,INV/20221111/MPL/2811379743,"4,415,000.00",0.3657984145,,,
