Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2024-02-04 0:00:00,Custom orderan hotel horison,,wa,4500000,7700000
2024-02-22 0:00:00,pandil rama sita 2,2402227NV9F2UN,shopee,870000,
2024-02-23 0:00:00,janger awak 30 cm,INV/20240223/MPL/3753096431,tokped,200000,
2024-02-24 0:00:00,pandil saraswati 35x25,INV/20240224/MPL/3755993410,tokped,800000,
2024-02-25 0:00:00,hiasan dinding 40 cm ongkara,INV/20240225/MPL/3757241530,tokped,180000,
2024-02-25 0:00:00,naga beer botol,INV/20240225/MPL/3756391423,tokped,200000,
2024-02-26 0:00:00,hiasan dinding 60 cm,240226JWKPSVCH,shopee,400000,
2024-02-27 0:00:00,custom level 1 hiasan dinding naga,INV/20240227/MPL/3762723052,tokped,400000,
2024-02-29 0:00:00,ongkos packing bapane,,,30000,
2024-01-10 0:00:00,patung buddha 83 cm,240110GJCR8XE4,shopee,950000,
