Date,Sumber,ID,Nilai,Keterangan
2024-02-26 20:07,shopee,,-111000,Isi Ulang Saldo Iklan/Koin Penjual
2024-02-24 11:32,shopee,240110GJCR8XE4,1374750,Penghasilan dari Pesanan #240110GJCR8XE4
2024-02-02 12:10,shopee,,-111000,Isi Ulang Saldo Iklan/Koin Penjual
2024-02-27 15:00,tokped,,2328,Cashback atas pengiriman cashless JNE Cashless JTR Jan 2024 | Total Ongkos Kirim Rp 80000
2024-02-27 10:00,tokped,,-300000,Penggunaan Saldo Tokopedia untuk pembelian dari Tokopedia Ads. [ID Transaksi: 4528163436]
2024-02-25 8:41,tokped,INV/20240131/MPL/3713648384,-13770,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240131/MPL/3713648384
2024-02-25 8:41,tokped,INV/20240131/MPL/3713648384,306000,Transaksi Penjualan Berhasil - INV/20240131/MPL/3713648384
2024-02-22 10:51,tokped,INV/20240118/MPL/3687592926,-108000,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240118/MPL/3687592926
2024-02-22 10:51,tokped,INV/20240118/MPL/3687592926,2400000,Transaksi Penjualan Berhasil - INV/20240118/MPL/3687592926
2024-02-17 16:25,tokped,INV/20240110/MPL/3672101653,-34425,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240110/MPL/3672101653
2024-02-17 16:25,tokped,INV/20240110/MPL/3672101653,765000,Transaksi Penjualan Berhasil - INV/20240110/MPL/3672101653
2024-02-10 14:16,tokped,,-300000,Penggunaan Saldo Tokopedia untuk pembelian dari Tokopedia Ads. [ID Transaksi: 4490246343]
2024-02-04 10:52,tokped,INV/20240130/MPL/3710820118,-10710,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240130/MPL/3710820118
2024-02-04 10:52,tokped,INV/20240130/MPL/3710820118,238000,Transaksi Penjualan Berhasil - INV/20240130/MPL/3710820118
2024-02-03 16:00,tokped,INV/20231229/MPL/3651510120,-19125,Pemotongan Biaya Layanan Power Merchant Pro - INV/20231229/MPL/3651510120
2024-02-03 16:00,tokped,INV/20231229/MPL/3651510120,425000,Transaksi Penjualan Berhasil - INV/20231229/MPL/3651510120
2024-02-28 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1295721445
2024-02-28 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1295721445
2024-02-26 0:00,etsy,,-344,VAT: auto-renew expired auto-renew expired: 1304275242
2024-02-26 0:00,etsy,,-3123,Listing fee ($0.20 USD) Listing #1304275242
2024-02-22 0:00,etsy,,-343,VAT: auto-renew expired auto-renew expired: 1295727105
2024-02-22 0:00,etsy,,-3118,Listing fee ($0.20 USD) Listing #1295727105
2024-02-16 0:00,etsy,,-344,VAT: auto-renew expired auto-renew expired: 1304271034
2024-02-16 0:00,etsy,,-3130,Listing fee ($0.20 USD) Listing #1304271034
2024-02-12 0:00,etsy,,-343,VAT: auto-renew expired auto-renew expired: 1318305325
2024-02-12 0:00,etsy,,-3120,Listing fee ($0.20 USD) Listing #1318305325
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1318314085
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1318314085
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1318313221
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1318313221
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1318311925
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1318311925
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1304289318
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1304289318
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1304284908
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1304284908
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1318308761
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1318308761
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1304281760
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1304281760
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1318306355
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1318306355
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1304276912
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1304276912
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1318296479
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1318296479
2024-02-08 0:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1318294119
2024-02-08 0:00,etsy,,-3135,Listing fee ($0.20 USD) Listing #1318294119
