Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2024-01-10 0:00:00,patung buddha 83 cm,240110GJCR8XE4,shopee,950000,
2024-01-10 0:00:00,Gurita 50 cm,INV/20240110/MPL/3672101653,tokped,500000,
2024-01-12 0:00:00,Naga Beer botol,INV/20240112/MPL/3675955492,tokped,200000,
2024-01-13 0:00:00,27 x naga 25 cm + dudukan ,,wa,5900000,11075000
2024-01-13 0:00:00,ongkir 27 x naga 25 cm + dudukan ,,,950000,
2024-01-18 0:00:00,Custom level 9 ( 4 ikan paus ),INV/20240118/MPL/3687592926,tokped,1400000,2400000
2024-01-29 0:00:00,pandil mahabarata 50x30,3195922546,etsy,3050000,8998500
2024-01-30 0:00:00,hiasan dinding 30 cm,INV/20240130/MPL/3710820118,tokped,140000,238000
2024-01-31 0:00:00,hiasan dinding ongkara 40 cm,INV/20240131/MPL/3713648384,tokped,180000,306000
2024-01-31 0:00:00,ongkos packing bapane,,,50000,
