Date,Sumber,ID,Nilai,Keterangan
2024-01-29 10:53:06,tokped,INV/20231229/MPL/3651373960,-40500,Pemotongan Biaya Layanan Power Merchant Pro - INV/20231229/MPL/3651373960
2024-01-29 10:53:06,tokped,INV/20231229/MPL/3651373960,900000,Transaksi Penjualan Berhasil - INV/20231229/MPL/3651373960
2024-01-24 11:30:31,tokped,INV/20240112/MPL/3675955492,-15525,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240112/MPL/3675955492
2024-01-24 11:30:31,tokped,INV/20240112/MPL/3675955492,345000,Transaksi Penjualan Berhasil - INV/20240112/MPL/3675955492
2024-01-23 16:40:14,tokped,,2328,Cashback atas pengiriman cashless JNE Cashless JTR Dec 2023 | Total Ongkos Kirim Rp 80000
2024-01-23 16:21:33,tokped,,5908,Cashback atas pengiriman cashless JNE Cashless YES Dec 2023 | Total Ongkos Kirim Rp 203000
2024-01-23 10:21:01,tokped,,-300000,Penggunaan Saldo Tokopedia untuk pembelian dari Tokopedia Ads. [ID Transaksi: 4445488599]
2024-01-12 19:00:32,tokped,INV/20231223/MPL/3641024369,-49500,Pemotongan Biaya Layanan Power Merchant Pro - INV/20231223/MPL/3641024369
2024-01-12 19:00:32,tokped,INV/20231223/MPL/3641024369,1100000,Transaksi Penjualan Berhasil - INV/20231223/MPL/3641024369
2024-01-10 11:30:11,tokped,INV/20231221/MPL/3636906980,-65025,Pemotongan Biaya Layanan Power Merchant Pro - INV/20231221/MPL/3636906980
2024-01-10 11:30:11,tokped,INV/20231221/MPL/3636906980,1445000,Transaksi Penjualan Berhasil - INV/20231221/MPL/3636906980
2024-01-05 20:15:07,tokped,,-300000,Penggunaan Saldo Tokopedia untuk pembelian dari Tokopedia Ads. [ID Transaksi: 4406354871]
2024-01-01 19:56:04,tokped,INV/20231221/MPL/3637707904,-22950,Pemotongan Biaya Layanan Power Merchant Pro - INV/20231221/MPL/3637707904
2024-01-01 19:56:04,tokped,INV/20231221/MPL/3637707904,510000,Transaksi Penjualan Berhasil - INV/20231221/MPL/3637707904
2024-01-09 20:37:00,shopee,,-111000,Isi Ulang Saldo Iklan/Koin Penjual
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281688570
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295728307
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295727873
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295722259
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295712029
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295725191
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295711603
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281685144
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295708707
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295717969
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295716643
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281683604
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281704518
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295720205
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281694222
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281693462
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295719367
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295716119
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295715645
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281684892
2024-01-30 0:00:00,etsy,,-3158,Listing fee ($0.20 USD) Listing #1281688570
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281703540
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295708001
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281698820
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281703292
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281684590
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295710305
2024-01-30 0:00:00,etsy,,-3158,Listing fee ($0.20 USD) Listing #1295728307
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281696276
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295713525
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1295709993
2024-01-30 0:00:00,etsy,,-347,VAT: auto-renew expired auto-renew expired: 1281695536
2024-01-30 0:00:00,etsy,,-3158,Listing fee ($0.20 USD) Listing #1295722259
2024-01-30 0:00:00,etsy,,-3158,Listing fee ($0.20 USD) Listing #1295712029
2024-01-30 0:00:00,etsy,,-3158,Listing fee ($0.20 USD) Listing #1295725191
2024-01-30 0:00:00,etsy,,-3158,Listing fee ($0.20 USD) Listing #1295727873
