Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-07-01 0:00:00,pandil rama sita + saraswti ( Jyo Saraswati ),2939181656,etsy,3390000,
2023-07-06 0:00:00,pandil saraswati,2944572776,etsy,900000,
2023-07-17 0:00:00,hiasan dinding ongkara 40 cm,230717782K2ENR,shopee,170000,
2023-07-17 0:00:00,custom pondok sarwi,,wa,820000,1400000
2023-07-25 0:00:00,Arwana 41 cm,2956252597,etsy,400000,
2023-07-31 0:00:00,Ongkos packing,,,50000,
2023-05-29 0:00:00,custom order 3 kg level 6,INV/20230529/MPL/3260648522,tokped,529000,
2023-06-20 0:00:00,patung kodok 10x7x5 cm,INV/20230620/MPL/3302671830,tokped,67000,
2023-06-22 0:00:00,Pandil Rama sita 38.5x18x6.5 cm,INV/20230622/MPL/3304860097,tokped,960000,
2023-06-26 0:00:00,"custom order level 12 5kg, 6 pcs",INV/20230626/MPL/3312783921,tokped,1447000,
2023-06-28 0:00:00,Ganesha 30 cm + Garuda wisnu 30 cm,INV/20230628/MPL/3317034218,tokped,1645000,
2023-07-13 0:00:00,"hiasan dinding motif bunga 30 cm, motif bunga 3 40 cm",INV/20230713/MPL/3342964932,tokped,310000,
2023-07-11 0:00:00,patung nelayan 30 cm,INV/20230711/MPL/3339725012,tokped,240000,
2023-07-07 0:00:00,pandil pemandangan ,INV/20230707/MPL/3331887440,tokped,700000,
