Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-06-03 0:00:00,custom order level 4,INV/20230603/MPL/3270265363,tokped,210000,
2023-06-04 0:00:00,custom order budha 20 cm,2912811810,etsy,800000,
2023-06-10 0:00:00,Arsenal 40 cm,INV/20230610/MPL/3284125865,tokped,230000,
2023-06-11 0:00:00,bublle wrap ,,,145000,
2023-06-11 0:00:00,karton 50 pcs,,,500000,
2023-06-24 0:00:00,patung ikan marlin,230616HFT5VK1F,shopee,367000,
2023-06-26 0:00:00,pandil fish sea 30x50,2928065265,etsy,2750000,
2023-06-28 0:00:00,tatakan ukir barong burung hantu,,wa,441000,750000
2023-06-29 0:00:00,ongkos packing bapane 9X,,,45000,
2023-05-24 0:00:00,patung naga & burung kaka tua,230524JPV3VTV6,shopee,280000,
2023-05-04 0:00:00,ganesha 33 cm,INV/20230504/MPL/3213139340,tokped,680000,
2023-05-11 0:00:00,burung pelikan 11 cm 30X,INV/20230511/MPL/3226387737,tokped,811000,
2023-05-17 0:00:00,logo arsenal 30 cm,INV/20230517/MPL/3237666682,tokped,210000,
2023-05-09 0:00:00,patung burung elang 25 cm,2305099HC61R3S,shopee,320000,
2023-06-29 0:00:00,ongkir JNE to kurasi 3 items / 3,2939181656,,54000,
2023-06-29 0:00:00,ongkir JNE to kurasi 3 items / 3,2928065265,,50000,
2023-06-29 0:00:00,ongkir JNE to kurasi 3 items / 3,2912811810,,20000,
2023-06-29 0:00:00,Onkir Kurasi 3 items / 3,2939181656,,2086000,
2023-06-29 0:00:00,Onkir Kurasi 3 items / 3,2928065265,,1500000,
2023-06-29 0:00:00,Onkir Kurasi 3 items / 3,2912811810,,1000000,
2023-03-09 0:00:00,50x patung naga botol,230419HCQTQD63,shopee,6750000,
