Date,Sumber,ID,Nilai,Keterangan
2023-06-03 0:00:00,etsy,2912811810,-16710,VAT: Processing Fee - Order #2912811810
2023-06-03 0:00:00,etsy,2912811810,-328,VAT: private listing - private listing: 1436904623
2023-06-03 0:00:00,etsy,2912811810,-4354,VAT: shipping_transaction -
2023-06-03 0:00:00,etsy,2912811810,-17232,VAT: transaction - transaction: 3585700059
2023-06-03 0:00:00,etsy,2912811810,-2980,Listing fee ($0.20 USD) - Listing #1436904623
2023-06-03 0:00:00,etsy,2912811810,-39585,Transaction fee: Shipping - Order #2912811810
2023-06-03 0:00:00,etsy,2912811810,-156650,Transaction fee: Custom Order for Stephan - Order #2912811810
2023-06-03 0:00:00,etsy,2912811810,-201235,Sales tax paid by buyer - Order #2912811810
2023-06-03 0:00:00,etsy,2912811810,-151911,Processing fee - Order #2912811810
2023-06-03 0:00:00,etsy,2912811810,3220235,Payment for Order #2912811810 -
2023-06-04 15:46:19,tokped,INV/20230504/MPL/3213139340,-49725,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230504/MPL/3213139340
2023-06-04 15:46:19,tokped,INV/20230504/MPL/3213139340,1105000,Transaksi Penjualan Berhasil - INV/20230504/MPL/3213139340
2023-06-05 12:01:00,shopee,230524JPV3VTV6,446056,Penghasilan dari Pesanan #230524JPV3VTV6
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318315957
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1318315957
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318314085
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1318314085
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304289318
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1304289318
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318313221
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1318313221
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318311925
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1318311925
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304284908
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1304284908
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318308761
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1318308761
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304281760
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1304281760
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318306355
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1318306355
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304276912
2023-06-06 0:00:00,etsy,,-2976,Listing fee ($0.20 USD) - Listing #1304276912
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318296479
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318296479
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318294119
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318294119
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304268424
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304268424
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318291983
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318291983
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304266404
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304266404
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304264862
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304264862
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318290575
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318290575
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304262296
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304262296
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318288077
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318288077
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318287553
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318287553
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318286765
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318286765
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304259856
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304259856
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304258752
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304258752
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318284667
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318284667
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304257410
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304257410
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318283171
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318283171
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1318281999
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1318281999
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304256146
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304256146
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304254684
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304254684
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304253806
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304253806
2023-06-06 0:00:00,etsy,,-327,VAT: auto-renew expired - auto-renew expired: 1304252836
2023-06-06 0:00:00,etsy,,-2975,Listing fee ($0.20 USD) - Listing #1304252836
2023-06-06 12:44:08,tokped,INV/20230517/MPL/3237666682,-16065,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230517/MPL/3237666682
2023-06-06 12:44:08,tokped,INV/20230517/MPL/3237666682,357000,Transaksi Penjualan Berhasil - INV/20230517/MPL/3237666682
