Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2024-03-02 0:00:00,hiasan dinding pemandangan,INV/20240302/MPL/3769176106,tokped,950000,
2024-03-03 0:00:00,gurita 50cm,INV/20240303/MPL/3772563424,tokped,500000,
2024-03-03 0:00:00,hiasan dinding naga 25 cm,INV/20240303/MPL/3773300926,tokped,140000,
2024-03-03 0:00:00,hiasan dinding 30 cm,INV/20240303/MPL/3771437125,tokped,140000,
2024-03-05 0:00:00,hiasan dinding custom 40 cm,INV/20240305/MPL/3776083162,tokped,180000,
2024-03-07 0:00:00,kuda nil & hiasan dinding ongkara 40 cm,INV/20240307/MPL/3780223515,tokped,240000,
2024-03-08 0:00:00,Bobble wrap,,,140000,
2024-03-19 0:00:00,hiasan dinding naga 25 cm,INV/20240319/MPL/3803196252,tokped,140000,
2024-03-26 0:00:00,liverpool 30 cm,INV/20240326/MPL/3817516978,tokped,250000,
2024-03-28 0:00:00,custom order yesus 50x33 cm,INV/20240328/MPL/3821132239,tokped,517000,
2024-03-30 0:00:00,Hiasan dinding bunga 2 40 cm,INV/20240330/MPL/3825957366,tokped,180000,
2024-02-22 0:00:00,pandil rama sita 2,2402227NV9F2UN,shopee,870000,
2024-02-26 0:00:00,hiasan dinding 60 cm,240226JWKPSVCH,shopee,400000,
