Date,Sumber,ID,Nilai,Keterangan
2024-03-29 7:08:00,shopee,2402227NV9F2UN,1362750,Penghasilan dari Pesanan #2402227NV9F2UN
2024-03-20 10:26:00,shopee,,-111000,Isi Ulang Saldo Iklan/Koin Penjual
2024-03-31 22:30:02,tokped,INV/20240224/MPL/3755993410,-61200,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240224/MPL/3755993410
2024-03-31 22:30:02,tokped,INV/20240224/MPL/3755993410,1360000,Transaksi Penjualan Berhasil - INV/20240224/MPL/3755993410
2024-03-31 16:50:22,tokped,INV/20240225/MPL/3756391423,-15525,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240225/MPL/3756391423
2024-03-31 16:50:22,tokped,INV/20240225/MPL/3756391423,345000,Transaksi Penjualan Berhasil - INV/20240225/MPL/3756391423
2024-03-30 13:50:14,tokped,INV/20240227/MPL/3762723052,-30600,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240227/MPL/3762723052
2024-03-30 13:50:14,tokped,INV/20240227/MPL/3762723052,680000,Transaksi Penjualan Berhasil - INV/20240227/MPL/3762723052
2024-03-29 18:26:00,tokped,INV/20240302/MPL/3769176106,-65025,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240302/MPL/3769176106
2024-03-29 18:26:00,tokped,INV/20240302/MPL/3769176106,-19000,"Pemotongan Selisih Ongkir via J&T Express (harga aktual lebih tinggi dari invoice)
 INV/20240302/MPL/3769176106 Harga aktual = Rp 76.000, Berat Aktual = 4.02 kg"
2024-03-29 18:26:00,tokped,INV/20240302/MPL/3769176106,1445000,Transaksi Penjualan Berhasil - INV/20240302/MPL/3769176106
2024-03-21 11:35:32,tokped,,2328,Cashback atas pengiriman cashless JNE Cashless JTR Feb 2024 | Total Ongkos Kirim Rp 80000
2024-03-19 17:50:46,tokped,INV/20240223/MPL/3753096431,-15300,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240223/MPL/3753096431
2024-03-19 17:50:46,tokped,INV/20240223/MPL/3753096431,340000,Transaksi Penjualan Berhasil - INV/20240223/MPL/3753096431
2024-03-15 7:09:40,tokped,,-300000,Penggunaan Saldo Tokopedia untuk pembelian dari Tokopedia Ads. [ID Transaksi: 4570164136]
2024-03-13 3:13:33,tokped,INV/20240303/MPL/3772563424,-34425,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240303/MPL/3772563424
2024-03-13 3:13:33,tokped,INV/20240303/MPL/3772563424,765000,Transaksi Penjualan Berhasil - INV/20240303/MPL/3772563424
2024-03-12 16:35:12,tokped,INV/20240225/MPL/3757241530,-13770,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240225/MPL/3757241530
2024-03-12 16:35:12,tokped,INV/20240225/MPL/3757241530,306000,Transaksi Penjualan Berhasil - INV/20240225/MPL/3757241530
2024-03-11 4:47:08,tokped,INV/20240307/MPL/3780223515,-18360,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240307/MPL/3780223515
2024-03-11 4:47:08,tokped,INV/20240307/MPL/3780223515,408000,Transaksi Penjualan Berhasil - INV/20240307/MPL/3780223515
2024-03-10 10:35:22,tokped,INV/20240303/MPL/3773300926,-10710,Pemotongan Biaya Layanan Power Merchant Pro - INV/20240303/MPL/3773300926
2024-03-10 10:35:22,tokped,INV/20240303/MPL/3773300926,238000,Transaksi Penjualan Berhasil - INV/20240303/MPL/3773300926
2024-03-31 0:00:00,etsy,,-349,VAT: auto-renew expired auto-renew expired: 1281694642
2024-03-31 0:00:00,etsy,,-3176,Listing fee ($0.20 USD) Listing #1281694642
2024-03-27 0:00:00,etsy,,-349,VAT: auto-renew expired auto-renew expired: 1295702475
2024-03-27 0:00:00,etsy,,-3172,Listing fee ($0.20 USD) Listing #1295702475
2024-03-08 0:00:00,etsy,,-341,VAT: auto-renew expired auto-renew expired: 1295725931
2024-03-08 0:00:00,etsy,,-3103,Listing fee ($0.20 USD) Listing #1295725931
2024-03-02 0:00:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1295722509
2024-03-02 0:00:00,etsy,,-3140,Listing fee ($0.20 USD) Listing #1295722509
2024-03-02 0:00:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1281703816
2024-03-02 0:00:00,etsy,,-3140,Listing fee ($0.20 USD) Listing #1281703816
2024-03-02 0:00:00,etsy,,-345,VAT: auto-renew expired auto-renew expired: 1281675828
2024-03-02 0:00:00,etsy,,-3140,Listing fee ($0.20 USD) Listing #1281675828
