Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-05-03 0:00:00,hisan dinding naga 25 cm,230503QB2J2VPC,shopee,120000,
2023-05-03 0:00:00,beli plaster,,,190000,
2023-05-07 0:00:00,hiasan dinding bunga 2 30 cm,2305074S8DKP9R,shopee,120000,
2023-05-08 0:00:00,custom  4 kg level 9,INV/20230508/MPL/3220254872,tokped,880000,
2023-05-09 0:00:00,hiasan dinding ongkara 2 40 cm,INV/20230509/MPL/3223032590,tokped,160000,
2023-05-12 0:00:00,custom order hiasan dinding 50 cm,2885376653,etsy,330000,
2023-05-14 0:00:00,custom order hiasan dinding 40 cm,230514PAR6WB4B,shopee,160000,
2023-05-16 0:00:00,patung naga beer,230516TYPRMSPY,shopee,160000,
2023-05-17 0:00:00,2x tangan -tangan 30 cm,,wa,290000,"500,000.00"
2023-05-19 0:00:00,custem order ( tukar tambah),2305194D7Y84E0,shopee,88000,
2023-05-20 0:00:00,bebek berenang 12 cm panjang,INV/20230520/MPL/3243890474,tokped,23000,
2023-05-26 0:00:00,"hiasan dinding  bunga 2, 30 cm",INV/20230526/MPL/3254783479,tokped,120000,
2023-05-23 0:00:00,"patung rama sita 38.5 cm, 3X",INV/20230523/MPL/3249067032,tokped,1350000,
2023-05-25 0:00:00,hisan dinding naga 25 cm,230525M225MUBB,shopee,120000,
2023-05-27 0:00:00,patung piala dunia 37 cm,,wa,700000,"1,200,000.00"
2023-05-30 0:00:00,2 x panel pintu singa,,wa,3823000,"6,500,000.00"
2023-05-31 0:00:00,beli triplek 1 lembar 1 cm,,,100000,
2023-05-31 0:00:00,ongkir J&T to kurasi,2885376653,,76000,
2023-05-31 0:00:00,onkir KURASI,2885376653,,1138000,
2023-05-31 0:00:00,onkos packing bapane(22X),,,154000,
2023-04-07 0:00:00,11x patung burung pelikat 11 cm,INV/20230407/MPL/3162224781,tokped,297000,
2023-04-20 0:00:00,hiasan dinding naga 25 cm,INV/20230420/MPL/3189860485,tokped,120000,
2023-04-27 0:00:00,pandil rama sita 38x20x6 cm,INV/20230427/MPL/3198447986,tokped,450000,
2023-04-27 0:00:00,hiasan dinding naga 25 cm,INV/20230427/MPL/3197821366,tokped,120000,
2023-04-27 0:00:00,Patung naga botol ,2304278F1EXQ68,shopee,160000,
2023-04-30 0:00:00,custom order 4 kg level 1,INV/20230430/MPL/3204352986,tokped,323000,
2023-05-19 0:00:00,hiasan dinding naga 25 cm,INV/20230519/MPL/3241977064,tokped,120000,
