Date,Keterangan,Sumber,Pengeluaran,,Pemasukan,ID,Link,Margin,Total Pengeluaran,Total Pemasukan,Potensi Pemasukan
2022-11-22 17:13:39,Ongkos ersa bulan oktober - 5 jam kerja (jyo),,75000,,,,,,6667832,"2,800,000.00","2,701,205,788.00"
2022-11-23 17:13:39,Hosting US Server & .com domain 1 year - IONOS / jyo,,453047,,,,,,,,
2022-11-24 17:13:39,Website User Interface Lifetime - Envato / Jyo,,339785,,,,,,,,
2022-11-25 17:13:39,ganesha 33 cm,tokped,600000,,,INV/20221108/MPL/2802117598,"900,000.00",0.3333333333,,,
2022-11-26 17:13:39,cili pasang 26 cm,tokped,500000,,,INV/20221109/MPL/2804568884,"900,000.00",0.4444444444,,,
2022-11-27 17:13:39,jam ukiran bali,novica,450000,,650000,,,0.3076923077,,,
2022-11-28 17:13:39,3 set hiasan dinding,wa,1000000,,1500000,,,0.3333333333,,,
2022-11-29 17:13:39,pekong tarik,shopee,200000,,,221111RBDPW6TY,"300,000.00",0.3333333333,,,
2022-11-30 17:13:39,hiasan dinding 30 cm,tokped,120000,,,INV/20221112/MPL/2815057114,"180,000.00",0.3333333333,,,
2022-12-01 17:13:39,Custom 5 produk,tokped,1000000,,,INV/20221117/MPL/2827574383,"1,590,000.00",0.3710691824,,,
2022-12-02 17:13:39,liverpool 30cm,tokped,250000,,,INV/20221115/MPL/2822043211,"375,000.00",0.3333333333,,,
2022-12-03 17:13:39,hiasan dinding 40 cm,tokped,160000,,,INV/20221030/MPL/2777638619,"300,000.00",0.4666666667,,,
2022-12-04 17:13:39,papan nama ukir+ bulat lubang,wa,430000,,650000,,,0.3384615385,,,
2022-12-05 17:13:39,hiasan dinding naga,tokped,240000,,,,"360,000.00",0.3333333333,,,
2022-12-06 17:13:39,patung naga 16 cm,etsy,190000,,,2701205788,"2,207,008.00",0.9139105975,,,
2022-12-07 17:13:39,custom 3 pcs,tokped,500000,,,INV/20221121/MPL/2835652090,"775,000.00",0.3548387097,,,
2022-12-08 17:13:39,hiasan dinding 40cm,tokped,160000,,,,300000,0.4666666667,,,
