Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-10-01 0:00:00,jam dinding ukiran bali,,novica,450000,650000
2023-10-01 0:00:00,3x hiasan dinding motif bunga 2,INV/20231001/MPL/3486386129,tokped,420000,
2023-10-15 0:00:00,jam dinding kalarau,INV/20231015/MPL/3510633906,tokped,450000,
2023-10-16 0:00:00,Hiasan dinding ongkara 2 40cm,INV/20231015/MPL/3510633906,tokped,180000,
2023-10-21 0:00:00,Pandil Rama sita ,INV/20231021/MPL/3521014497,tokped,500000,
2023-10-22 0:00:00,hanuman kulit kayu,INV/20231022/MPL/3521949676,tokped,700000,
2023-10-22 0:00:00,pandil radha krishna,3057551066,etsy,900000,
2023-10-23 0:00:00,naga botol beer,INV/20231023/MPL/3523438795,tokped,400000,
2023-10-25 0:00:00,Pandil Rama sita ,INV/20231025/MPL/3527142928,tokped,3000000,
2023-10-25 0:00:00,patung janger 22 cm,3061527616,etsy,250000,
2023-10-30 0:00:00,pandil barong,3067677946,etsy,3000000,
2023-10-31 0:00:00,hiasan dinding naga,INV/20231031/MPL/3539160823,tokped,140000,
2023-10-31 0:00:00,ongkos packing bapane,,,60000,
2023-09-19 0:00:00,logo liverpool 60 cm,230919Q2A2398F,shopee,630000,
