Date,Sumber,ID,Nilai,Keterangan
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1318315957
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1318315957
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1318314085
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1318314085
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1318313221
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1318313221
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1304289318
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1304289318
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1318311925
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1318311925
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1304284908
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1304284908
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1318308761
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1318308761
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1304281760
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1304281760
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1318306355
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1318306355
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1304276912
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1304276912
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1318296479
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1318296479
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1318294119
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1318294119
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1318291983
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1318291983
2023-10-07 0:00:00,etsy,,-344,VAT: auto-renew expired - auto-renew expired: 1304268424
2023-10-07 0:00:00,etsy,,-3130,Listing fee ($0.20 USD) - Listing #1304268424
