Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-09-01 0:00:00,sign pool 30x40,,wa,315000,420000
2023-09-04 0:00:00,patung janger 25x19,INV/20230904/MPL/3440332859,tokped,300000,
2023-09-04 0:00:00,Pandil gajah,230904EKPD0MWF,shopee,850000,
2023-09-04 0:00:00,patung dewi melanting,,wa,2647000,2500000
2023-09-15 0:00:00,patung ganesha dan hanuman,INV/20230915/MPL/3458441020,tokped,1052000,
2023-09-16 0:00:00,hiasan dinding omkara 1 40 cm,INV20230916/MPL/3459820202,tokped,180000,
2023-09-17 0:00:00,hiasan dindingbunga 2,200917K0HB942B,shopee,140000,
2023-09-18 0:00:00,hiasan dinding  naga 25 cm,INV/20230918/MPL/3463671315,tokped,280000,
2023-09-19 0:00:00,logo liverpool 60 cm,230919Q2A2398F,shopee,630000,
2023-09-21 0:00:00,hiasan dinding omkara 1 40 cm,INV/20230921/MPL/3468300947,tokped,180000,
2023-09-22 0:00:00,naga botol beer,INV/20230922/MPL/3470415282,tokped,400000,
2023-09-25 0:00:00,bubble wrap,,,140000,
2023-09-30 0:00:00,onkos packing bapane,,,45000,
2023-08-01 0:00:00,burung elang 25x25,INV20230801/MPL/3378371447,tokped,250000,
