Date,Sumber,ID,Nilai,Keterangan
2023-09-01 14:07:43,tokped,,437,Cashback atas pengiriman cashless JNE Cashless YES Jul 2023 | Total Ongkos Kirim Rp 15000
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295706815
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295706815
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295705231
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295705231
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1281683246
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1281683246
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295704979
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295704979
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295704641
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295704641
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1281681636
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1281681636
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295703807
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295703807
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1281680706
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1281680706
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295702783
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295702783
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1281680362
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1281680362
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1281679226
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1281679226
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295701491
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295701491
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295700831
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295700831
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1281678412
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1281678412
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1281677836
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1281677836
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295700015
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295700015
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295698877
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295698877
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1281677548
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1281677548
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295698077
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295698077
2023-09-02 0:00:00,etsy,,-336,VAT: auto-renew expired - auto-renew expired: 1295697849
2023-09-02 0:00:00,etsy,,-3052,Listing fee ($0.20 USD) - Listing #1295697849
